[21/02/2026 15:55:05] Monitoramento iniciado para: https://www.google.com
[21/02/2026 15:55:20] [OFFLINE] Não foi possível acessar https://www.google.com!
[21/02/2026 15:55:35] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:55:49] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:56:01] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:56:14] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:56:27] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:56:40] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:56:54] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:57:07] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:57:20] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:57:33] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:57:46] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:57:59] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:58:12] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:58:27] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:58:40] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:58:53] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:59:05] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:59:18] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:59:31] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:59:44] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 15:59:57] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:00:10] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:00:23] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:00:36] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:00:49] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:01:02] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:01:16] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:01:29] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:01:41] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:04:33] Monitoramento iniciado para: https://www.google.com
[21/02/2026 16:04:37] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:04:50] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:05:04] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:05:17] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:05:30] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:05:42] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:05:56] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:06:09] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:06:22] [ONLINE] https://www.google.com está funcionando! (Status: 200)
[21/02/2026 16:06:36] [ONLINE] https://www.google.com está funcionando! (Status: 200)
